Name	Species	Power	Height	Weight	Age
Herbert_Sawayn	Dragon	Lightning_bolt	806	682	280.78
Clemence_Mante	Elf	Dimension_door	891	658	495.2
Kallie_Wilderman	Kobold	Lightning_bolt	705	68	874.82
Kamron_Berge	Goblin	Floating_disk	194	800	991.24
Jalisa_Schultz	Elf	Cure_critical_wounds	171	246	415.44
Romaine_Mayert	Dragon	Lightning_bolt	433	517	13.85
Ignacio_Konopelski	Giant	Magic_missile	836	608	487.68
Burgess_Emard	Goblin	Fireball	487	536	332.67
Delia_Mosciski	Beholder	Cure_critical_wounds	311	411	869.99
Moshe_Hagenes	Giant	Magic_missile	616	249	898.66
Larue_Brown	Giant	Lightning_bolt	230	857	138.08
Fidel_Schmeler	Beholder	Lightning_bolt	971	162	952.41
Kayden_Hammes	Kobold	Dimension_door	252	446	696.05
Fiona_Lindgren	Beholder	Dimension_door	557	91	858.99
Roseanne_Kihn	Human	None	893	967	514.24
Blaze_VonRueden	Beholder	Floating_disk	206	451	562.24
Chace_Kutch	Elf	Magic_missile	75	483	985.05
Randolph_Thompson	Beholder	Floating_disk	118	858	990.95
Nylah_Kemmer	Elf	Dimension_door	159	755	183.98
Malorie_Gislason	Kobold	Magic_missile	701	234	830.86
Kaylyn_Smith	Kobold	Cure_critical_wounds	571	476	542.07
Vernie_Greenholt	Beholder	Magic_missile	219	908	154.65
Leander_Larson	Human	Floating_disk	866	742	363.11
Anthoney_Price	Kobold	Lightning_bolt	679	497	297.19
Tobie_Heathcote	Human	Cure_critical_wounds	868	401	61.47
Elgie_Johns	Goblin	Dimension_door	828	844	436.81
Rosita_Murphy	Human	Magic_missile	779	410	264.19
Austen_Bayer	Kobold	Magic_missile	692	149	145.23
Donny_Kulas	Kobold	Fireball	703	314	705.29
Wilford_Daugherty	Giant	Magic_missile	594	722	416.08
Ester_Bernier	Giant	None	269	80	273.1
Ronnie_Conroy	Dragon	Cure_critical_wounds	700	531	117.69
Jeryl_Towne	Goblin	Dimension_door	244	770	384.95
Arrie_Jast	Elf	Magic_missile	226	505	17.31
Jaelynn_Stroman	Goblin	Floating_disk	257	5	884.85
Tavaris_Ullrich	Goblin	Fireball	162	482	250.45
Brandyn_Howe	Goblin	Dimension_door	172	718	518.96
Margie_Hammes	Giant	Magic_missile	651	129	979.61
Jayson_Medhurst	Elf	Lightning_bolt	89	401	650.36
Abigale_Schultz	Goblin	None	364	125	12.24
Arnett_VonRueden	Beholder	Lightning_bolt	270	907	926.32
Brady_Ledner	Kobold	Fireball	690	247	1.46
Lonzo_Macejkovic	Human	Dimension_door	376	90	174.78
Maximiliano_Olson	Giant	Fireball	575	564	861.4
Andon_Jakubowski	Dragon	Fireball	992	549	454.47
Derwin_Sawayn	Goblin	Dimension_door	727	605	932.43
Simpson_Kilback	Beholder	Magic_missile	393	659	50.39
Adel_Brekke	Dragon	None	776	446	857.93
Daren_Herzog	Goblin	Magic_missile	139	468	66.71
Renea_Parisian	Goblin	Cure_critical_wounds	992	488	590.95
Shane_Greenholt	Goblin	Fireball	522	20	56.55
Madie_Rodriguez	Dragon	Dimension_door	284	716	750.71
Deforest_Stamm	Beholder	Dimension_door	79	432	635.95
Cristin_Thompson	Goblin	Dimension_door	473	370	490.56
Geraldine_Reilly	Kobold	Dimension_door	580	582	520.51
Vernia_Howe	Human	Lightning_bolt	507	994	93.57
Silvester_Schinner	Elf	Magic_missile	889	620	294.02
Isidro_Pacocha	Beholder	Magic_missile	519	399	115.02
Karl_Crooks	Goblin	Dimension_door	270	887	21.92
Curtiss_Murray	Kobold	None	816	791	856.09
Luke_Stroman	Giant	Magic_missile	652	902	11.84
Jesica_Gottlieb	Kobold	Magic_missile	871	979	147.94
Pat_McCullough	Kobold	Floating_disk	335	882	412.61
Tevin_Spencer	Giant	Fireball	318	889	443.12
Burgess_Gulgowski	Human	Fireball	814	788	512.63
Brain_Cummerata	Kobold	Dimension_door	642	245	955.38
Arielle_Ritchie	Human	Fireball	801	807	528.65
Luberta_Emmerich	Dragon	None	407	438	603.37
Theta_Wiza	Goblin	Floating_disk	206	499	936.02
Sudie_Rowe	Elf	Dimension_door	252	753	404.1
Judi_Mante	Dragon	Floating_disk	749	806	300.91
Pattie_O'Keefe	Beholder	Dimension_door	703	171	31.64
Kaleigh_Pfannerstill	Dragon	Fireball	44	918	842.25
Burrel_Grimes	Goblin	Floating_disk	312	801	236.6
Tre_Torphy	Goblin	Fireball	692	914	750.68
Tambra_Reynolds	Kobold	Lightning_bolt	755	786	574.95
Tracey_Rosenbaum	Dragon	Lightning_bolt	811	868	839.99
Jalyn_O'Hara	Giant	Lightning_bolt	123	205	390.97
Dori_Greenfelder	Elf	Fireball	311	295	162.25
Cicero_Hand	Giant	Dimension_door	722	792	297.7
Nicky_Brown	Human	Cure_critical_wounds	231	855	85.29
Bret_Towne	Kobold	Lightning_bolt	603	186	958.58
Emory_Heathcote	Human	Cure_critical_wounds	348	313	805.26
Myrtle_Langosh	Human	Cure_critical_wounds	190	220	306.23
Elzada_Bergnaum	Dragon	Magic_missile	285	24	914.03
Stevie_Daugherty	Giant	Cure_critical_wounds	111	903	332.47
Jovan_Douglas	Kobold	Lightning_bolt	84	326	306.8
Tracey_Hauck	Kobold	Cure_critical_wounds	956	896	626.15
Donato_Gulgowski	Giant	Fireball	806	782	140.32
Korey_Muller	Beholder	Cure_critical_wounds	882	45	633.32
Kiarra_Pagac	Goblin	Lightning_bolt	975	334	638.22
Marcellus_Tremblay	Human	Cure_critical_wounds	537	607	42.92
Syreeta_Moen	Human	Fireball	437	333	556.47
Wayne_Frami	Goblin	Magic_missile	838	423	883.0
Ronny_Kohler	Elf	None	250	931	841.76
Christian_Morissette	Beholder	Fireball	340	626	174.92
Marlyn_Toy	Elf	Dimension_door	592	212	218.15
Rhianna_Orn	Kobold	Cure_critical_wounds	109	486	913.5
Lailah_Murazik	Beholder	None	861	1000	999.03
Brisa_Tromp	Elf	Magic_missile	720	281	456.03
Shani_Tromp	Giant	Dimension_door	672	646	288.31
Urban_Fritsch	Beholder	Cure_critical_wounds	40	661	186.77
Shelly_Lemke	Dragon	Cure_critical_wounds	798	719	405.81
Judah_Mitchell	Kobold	Cure_critical_wounds	544	674	244.01
Josh_Lindgren	Dragon	Magic_missile	514	562	738.01
Dandre_Steuber	Giant	Cure_critical_wounds	196	258	496.78
Andra_Denesik	Goblin	Fireball	667	397	586.2
Aurthur_Collins	Human	Lightning_bolt	921	7	102.92
Marjorie_Lindgren	Kobold	Magic_missile	740	432	74.77
Sherwood_Hartmann	Goblin	Floating_disk	312	336	803.62
Lesley_Hyatt	Kobold	Dimension_door	849	280	407.88
Marietta_Kunde	Giant	Floating_disk	144	626	125.85
Bruce_Hessel	Beholder	Dimension_door	101	788	470.4
Rahul_Pacocha	Beholder	None	976	123	348.25
Jude_Hyatt	Dragon	Magic_missile	768	739	384.88
Ermine_Gerhold	Dragon	Dimension_door	38	60	561.84
Kipp_Baumbach	Giant	Cure_critical_wounds	382	572	363.87
Becky_Hegmann	Elf	Fireball	126	257	63.05
Porsche_McClure	Beholder	Dimension_door	367	372	78.49
Masako_Schuppe	Giant	None	822	333	902.51
Rachelle_Herman	Giant	Magic_missile	167	724	411.71
Manuel_Moore	Goblin	Cure_critical_wounds	734	637	978.68
Denzel_Satterfield	Human	Dimension_door	994	854	915.66
Iona_Gutkowski	Kobold	Magic_missile	316	452	839.23
Cindy_Ledner	Goblin	Floating_disk	35	760	672.75
Jalisa_Murazik	Goblin	Magic_missile	428	236	619.06
Bobby_Haag	Human	Fireball	853	884	655.71
Gil_Rodriguez	Goblin	Dimension_door	489	927	619.93
Charmaine_Wilkinson	Human	Magic_missile	957	758	106.12
Brittaney_Graham	Giant	Dimension_door	224	758	370.75
Arrie_Dietrich	Dragon	None	315	901	374.01
Margy_Metz	Beholder	None	375	130	636.52
Kalel_Kling	Elf	Fireball	746	936	107.52
Tennille_Wintheiser	Human	Lightning_bolt	872	736	201.39
Jase_Kub	Beholder	Lightning_bolt	559	439	284.98
Larissa_Greenholt	Kobold	Cure_critical_wounds	541	719	818.49
Flora_Connelly	Human	Lightning_bolt	724	778	471.8
Linnea_Trantow	Human	Lightning_bolt	651	32	47.65
Minor_O'Keefe	Elf	Lightning_bolt	270	272	862.69
Erick_Hodkiewicz	Dragon	Magic_missile	343	436	557.78
Uriah_Pagac	Dragon	Floating_disk	527	622	396.53
Barton_Runte	Elf	Cure_critical_wounds	503	287	706.62
Carson_Pacocha	Dragon	Magic_missile	690	41	696.03
Tamica_Ledner	Dragon	Magic_missile	927	697	579.24
Cierra_Beahan	Elf	Floating_disk	764	426	159.61
Maxine_Hettinger	Human	Floating_disk	137	837	971.47
Kenisha_Miller	Kobold	Floating_disk	410	225	869.22
Dyan_Lemke	Human	Dimension_door	844	389	64.49
Muhammad_Reilly	Giant	None	283	793	479.26
Goldia_Huels	Human	Fireball	151	572	723.83
Ayleen_Dooley	Beholder	Cure_critical_wounds	903	72	256.41
Iyanna_Kerluke	Kobold	Floating_disk	681	43	376.55
Yasmeen_Hermann	Elf	Fireball	489	757	290.46
Grace_O'Reilly	Goblin	Dimension_door	614	890	520.71
Val_Torphy	Human	None	864	130	200.67
Ocie_Braun	Goblin	Floating_disk	989	106	258.79
Roxie_Rowe	Dragon	Floating_disk	784	920	127.68
Elisha_Funk	Giant	Dimension_door	150	258	848.52
Britt_Kuhlman	Dragon	Floating_disk	641	937	528.16
Alston_Dach	Kobold	Cure_critical_wounds	373	305	325.2
Collis_Hermann	Kobold	Lightning_bolt	42	48	200.46
Crockett_Heaney	Beholder	Cure_critical_wounds	689	131	304.66
Sarai_Roberts	Goblin	Magic_missile	496	207	445.05
Ramsey_Berge	Goblin	Fireball	474	172	649.06
Henri_Dietrich	Giant	Cure_critical_wounds	915	268	254.08
Roll_Lesch	Elf	Magic_missile	328	610	776.26
Imelda_Abernathy	Goblin	Magic_missile	195	71	986.76
Alyssa_Hoppe	Kobold	Floating_disk	274	278	922.42
Juluis_Bogan	Human	None	132	141	138.6
Moriah_Zieme	Goblin	Floating_disk	200	715	534.29
Sussie_Emard	Elf	Floating_disk	91	391	602.74
Colvin_Bogan	Giant	None	122	138	834.28
Carrie_Champlin	Elf	Dimension_door	579	643	214.47
Elby_McGlynn	Elf	Floating_disk	937	288	168.42
Roman_Toy	Elf	Dimension_door	386	174	326.41
Niles_Rosenbaum	Goblin	Fireball	568	471	395.37
Shawnte_Koepp	Goblin	Fireball	12	39	898.19
Vicky_Reynolds	Goblin	Lightning_bolt	2	220	927.87
Winston_Nicolas	Kobold	Cure_critical_wounds	844	548	623.09
Noble_Bashirian	Human	Dimension_door	907	413	696.07
Kadeem_O'Connell	Goblin	Fireball	6	734	234.82
Silvester_Miller	Beholder	None	900	960	408.96
Georgiann_Pouros	Giant	Floating_disk	318	213	748.75
Carsen_Walker	Human	Dimension_door	333	72	811.56
Norah_Kunde	Beholder	Magic_missile	259	212	322.44
Jacki_Jenkins	Goblin	Fireball	228	84	35.26
Bose_Rowe	Beholder	Cure_critical_wounds	450	198	14.74
Braulio_Lockman	Beholder	Magic_missile	772	470	773.6
Blanchie_Breitenberg	Goblin	Lightning_bolt	372	556	337.01
Geraldine_Jacobi	Human	Magic_missile	419	643	647.67
Daniella_Weimann	Kobold	Lightning_bolt	702	144	241.85
Shanna_Zboncak	Goblin	Cure_critical_wounds	341	608	987.34
Imanol_Schmitt	Human	Floating_disk	893	577	338.85
Tomika_Cummings	Dragon	Dimension_door	905	102	92.7
Arther_Braun	Giant	Fireball	859	241	277.8
Cristal_Olson	Human	Fireball	329	119	241.36
Ami_Jacobs	Giant	Floating_disk	485	857	973.93
Rosella_Cormier	Human	Floating_disk	657	95	966.14
Deante_Ebert	Elf	Magic_missile	673	291	808.58
Godfrey_Hegmann	Goblin	Floating_disk	189	14	611.46
Brandi_Prosacco	Goblin	Fireball	947	341	811.21
Saige_Connelly	Elf	Magic_missile	835	253	439.41
Joanne_Davis	Dragon	Dimension_door	52	353	556.52
Edla_Emmerich	Beholder	None	809	238	655.73
Davion_Fay	Goblin	Fireball	492	923	540.5
Tatyanna_Mraz	Beholder	None	244	687	748.74
Lita_Reilly	Goblin	Floating_disk	190	679	571.52
Judd_Hagenes	Human	Lightning_bolt	597	892	816.31
Mahalia_Langosh	Elf	Fireball	572	928	496.13
Liller_Hagenes	Giant	Cure_critical_wounds	459	126	429.02
Jett_Dare	Giant	Lightning_bolt	646	365	200.47
Stephon_Macejkovic	Dragon	Dimension_door	427	110	467.49
Tai_Green	Beholder	Fireball	223	422	45.34
Sara_Adams	Human	Cure_critical_wounds	196	591	304.39
Ura_Dooley	Dragon	Magic_missile	664	810	276.63
Aleah_Kautzer	Goblin	None	205	422	439.78
Dondre_Krajcik	Human	None	758	528	811.49
Jereme_Sporer	Human	None	411	741	940.57
Jossie_Wisoky	Elf	Lightning_bolt	13	955	437.85
Bridgett_Sipes	Elf	Fireball	978	999	662.55
Jocelyne_Gusikowski	Human	Fireball	719	957	443.73
Olen_Howell	Elf	Magic_missile	763	810	595.03
Skyla_Strosin	Beholder	None	856	192	893.17
Jens_Ziemann	Elf	Magic_missile	829	609	674.19
Boss_Hyatt	Beholder	Floating_disk	776	718	3.83
Angeline_Kuvalis	Elf	Lightning_bolt	898	233	399.35
Rena_Buckridge	Elf	Fireball	226	956	961.95
Rochelle_Sauer	Kobold	Lightning_bolt	341	920	443.49
Essex_Batz	Giant	Cure_critical_wounds	673	435	566.73
Rosamond_Gleichner	Kobold	Cure_critical_wounds	57	60	686.54
Elgie_Dach	Elf	None	627	124	184.99
Jimena_Smitham	Human	None	25	447	42.92
Abby_Dickinson	Beholder	Cure_critical_wounds	227	754	410.08
Carin_Gulgowski	Kobold	Dimension_door	642	948	965.86
Allisson_Langworth	Dragon	Dimension_door	441	106	23.03
Raynard_Greenholt	Elf	None	185	412	62.49
Hugh_Skiles	Giant	Dimension_door	500	543	636.86
Clemmie_Kihn	Dragon	Dimension_door	214	382	92.71
French_Bartell	Goblin	Magic_missile	207	581	242.02
Taniyah_Goyette	Beholder	Lightning_bolt	215	956	422.7
Ean_Maggio	Elf	Floating_disk	810	782	141.15
Aletha_Kassulke	Goblin	Floating_disk	41	831	521.38
Jayde_Grant	Beholder	Fireball	650	592	297.12
Corinna_DuBuque	Human	Cure_critical_wounds	965	753	634.76
Lessie_Mayer	Goblin	Floating_disk	719	476	223.75
Raven_Johnston	Kobold	Cure_critical_wounds	523	426	86.2
Ambers_Koepp	Kobold	Lightning_bolt	93	633	524.88
Dorine_Deckow	Dragon	Dimension_door	907	359	279.43
Tobe_Johnson	Dragon	Cure_critical_wounds	750	792	206.35
Jonnie_Pfeffer	Beholder	Fireball	827	492	943.93
Terrie_O'Reilly	Elf	None	634	687	60.37
Yahaira_Connelly	Kobold	None	919	492	602.89
Courtland_Wisozk	Human	Cure_critical_wounds	4	405	316.51
Olivia_Bartell	Kobold	Dimension_door	445	881	145.61
Rella_Raynor	Giant	Magic_missile	386	107	939.56
Gorden_Powlowski	Goblin	Floating_disk	457	158	197.25
Raquan_O'Conner	Giant	Lightning_bolt	357	240	688.79
Latonia_Mraz	Dragon	Lightning_bolt	966	556	282.56
Verl_Zulauf	Elf	Magic_missile	171	268	362.18
Brent_Hane	Dragon	Fireball	500	682	262.59
Godfrey_Emard	Goblin	Dimension_door	400	123	562.16
Graydon_Kulas	Beholder	Magic_missile	898	696	916.48
Sara_Armstrong	Beholder	Magic_missile	223	26	143.55
Lyla_Hagenes	Human	Dimension_door	840	938	823.47
Tomika_Kling	Beholder	Magic_missile	522	109	249.58
Bartholomew_Romaguera	Human	Magic_missile	913	307	345.89
Gabrielle_Walker	Goblin	Floating_disk	525	923	783.85
Kristin_Cartwright	Kobold	Lightning_bolt	808	430	771.84
Xzavier_Watsica	Goblin	Cure_critical_wounds	757	817	390.31
Sandi_Bechtelar	Giant	Cure_critical_wounds	822	885	683.69
Herb_Stracke	Elf	Magic_missile	987	390	329.59
Viola_Beier	Dragon	Cure_critical_wounds	134	780	789.4
Garey_Miller	Dragon	Floating_disk	351	208	979.61
Elise_Kovacek	Human	Floating_disk	685	687	599.08
Andres_Fay	Human	Lightning_bolt	217	635	132.92
Arbie_Runolfsson	Giant	Dimension_door	716	289	240.79
Kraig_Gerlach	Beholder	Magic_missile	177	406	326.45
Rebeca_Waters	Goblin	Floating_disk	911	187	461.61
Tillie_Bode	Beholder	Magic_missile	77	807	528.92
Justice_Deckow	Giant	Lightning_bolt	972	180	87.81
Eugenie_Bode	Elf	Dimension_door	218	950	558.39
Meadow_Heidenreich	Elf	Floating_disk	91	69	250.29
Gale_Cremin	Kobold	Fireball	265	962	622.93
Francine_Rohan	Goblin	None	685	817	368.57
Tomie_Aufderhar	Beholder	Fireball	816	843	164.89
Hettie_Hilll	Beholder	Lightning_bolt	828	235	611.34
Katie_Trantow	Kobold	Lightning_bolt	325	326	586.85
Lindy_Price	Goblin	Fireball	40	807	108.84
Odis_Muller	Kobold	None	774	675	198.35
Josefita_Little	Dragon	Fireball	733	489	920.78
Elwood_Ferry	Kobold	Lightning_bolt	741	160	539.19
Louie_Brekke	Beholder	Magic_missile	98	356	31.08
Less_Altenwerth	Dragon	Magic_missile	934	37	172.15
Lorelei_O'Kon	Giant	Magic_missile	15	711	726.98
Alessandro_Wolff	Human	Floating_disk	98	273	997.65
Presley_Ebert	Elf	Fireball	904	51	247.63
Winona_Steuber	Beholder	Magic_missile	843	66	891.37
Loretta_Barton	Dragon	Fireball	678	73	825.82
Eddie_Tremblay	Kobold	None	485	952	269.47
Jayme_Weissnat	Elf	None	213	380	820.85
Everett_Pollich	Giant	Magic_missile	882	268	791.43
Janine_Thiel	Giant	Fireball	642	707	741.07
Candi_Glover	Goblin	Magic_missile	165	824	853.59
Abb_Cummings	Elf	Lightning_bolt	50	187	744.55
Hezzie_Lubowitz	Kobold	Floating_disk	342	677	281.38
Horatio_Kohler	Elf	Floating_disk	330	904	838.61
Darron_Wuckert	Beholder	None	713	7	633.02
Aldo_Funk	Kobold	Lightning_bolt	499	288	901.61
Ashlyn_Heathcote	Kobold	Magic_missile	283	136	79.11
Harlon_Ryan	Elf	Floating_disk	574	351	748.92
Tomie_Howe	Goblin	None	614	873	408.24
Ingrid_Anderson	Elf	None	435	243	723.56
Alba_Stanton	Beholder	Cure_critical_wounds	546	418	656.92
Durrell_Muller	Giant	Cure_critical_wounds	739	343	281.94
Carolynn_Schoen	Beholder	Cure_critical_wounds	153	719	225.45
Leonce_Morissette	Elf	Magic_missile	232	49	15.11
Rebecca_Wunsch	Human	Fireball	636	444	377.43
Walton_Schneider	Kobold	Fireball	110	909	976.49
Taylor_Kuhn	Human	Cure_critical_wounds	17	606	727.65
Dorothea_Hettinger	Beholder	Floating_disk	659	700	214.78
Jordy_Hartmann	Dragon	Fireball	367	270	162.68
Zachery_Crooks	Goblin	Dimension_door	996	995	795.08
Alethea_Wiza	Kobold	Lightning_bolt	908	898	720.46
Mekhi_Goldner	Dragon	Magic_missile	559	820	354.63
Leandro_Oberbrunner	Giant	Floating_disk	489	835	324.07
Jeffery_Dach	Elf	None	335	780	175.54
Randal_Corkery	Goblin	Floating_disk	16	239	455.01
Brycen_Witting	Kobold	Cure_critical_wounds	719	469	909.1
Emmit_Okuneva	Goblin	Floating_disk	402	651	320.73
Andre_Beatty	Dragon	Lightning_bolt	355	639	124.77
Madalynn_Mitchell	Dragon	None	143	891	528.82
Aniya_Schmidt	Goblin	None	811	902	680.85
